id,audit_scope,kind,question,proposed_gold_doc_ids,human_gold_doc_ids,is_answerable,reviewer,review_notes
v2_221,alias_typo,alias_typo,有个厨房好像叫 Da1syp0wer Portable，帮我找准确商品,product:P02620,,,,
v2_222,alias_typo,alias_typo,有个数码好像叫 Av1maBasics Buds，帮我找准确商品,product:P00052,,,,
v2_223,alias_typo,alias_typo,有个数码好像叫 N0rthwestern Bell，帮我找准确商品,product:P00682,,,,
v2_224,alias_typo,alias_typo,有个厨房好像叫 M0narch Spec1alties，帮我找准确商品,product:P03577,,,,
v2_225,alias_typo,alias_typo,有个数码好像叫 NOWA Shaper，帮我找准确商品,product:P00443,,,,
v2_226,alias_typo,alias_typo,有个厨房好像叫 Sunbeam Heated，帮我找准确商品,product:P02740,,,,
v2_227,alias_typo,alias_typo,有个厨房好像叫 Kaps K-Cups，帮我找准确商品,product:P03161,,,,
v2_228,alias_typo,alias_typo,有个数码好像叫 Y0ukamoo Balanced，帮我找准确商品,product:P00281,,,,
v2_229,alias_typo,alias_typo,有个厨房好像叫 SEDGE Sant0ku，帮我找准确商品,product:P03308,,,,
v2_230,alias_typo,alias_typo,有个厨房好像叫 Y0ur Zone，帮我找准确商品,product:P04214,,,,
v2_251,near_sku,near_sku_multi_gold,找 3dRose 的 Coffee Mugs 相近型号，线索是 3dRose mug_3599_2,product:P03934|product:P03752,,,,
v2_252,near_sku,near_sku_multi_gold,找 A-Tech 的 Components Memory 相近型号，线索是 A-Tech STICK,product:P00266|product:P00797,,,,
v2_253,near_sku,near_sku_multi_gold,找 Accessory USA 的 AC Adapters 相近型号，线索是 Accessory Adapter,product:P02132|product:P00475,,,,
v2_254,near_sku,near_sku_multi_gold,找 Acer 的 Traditional Laptops 相近型号，线索是 Acer Aspire,product:P01164|product:P00518,,,,
v2_255,near_sku,near_sku_multi_gold,找 ADATA 的 Card Readers 相近型号，线索是 ADATA 32GB,product:P00180|product:P01142,,,,
v2_256,near_sku,near_sku_multi_gold,找 AIDITIYMI 的 Remote Controls 相近型号，线索是 RMT-AA231U RMTAA231U,product:P01254|product:P00919,,,,
v2_257,near_sku,near_sku_multi_gold,找 Alapmk 的 Sleeves Sleeves 相近型号，线索是 Alapmk Protective,product:P00621|product:P00204,,,,
v2_258,near_sku,near_sku_multi_gold,找 Alessi 的 Dinner Forks 相近型号，线索是 Alessi Serving,product:P04101|product:P03375,,,,
v2_259,near_sku,near_sku_multi_gold,找 Alienware 的 Desktops Towers 相近型号，线索是 Alienware Aurora,product:P00610|product:P01512,,,,
v2_260,near_sku,near_sku_multi_gold,找 Amazon 的 Amazon Devices 相近型号，线索是 Echo Plum,product:P01064|product:P01280,,,,
v2_276,no_answer,no_answer,量子悬浮全息烤箱 第九代 火星专供 编号ZX-9000,,,,,
v2_277,no_answer,no_answer,零重力永动手机充电器 900%效率 编号ZX-9001,,,,,
v2_278,no_answer,no_answer,能读取梦境的USB线 紫色版本 编号ZX-9002,,,,,
v2_279,no_answer,no_answer,时间旅行电视遥控器 2099款 编号ZX-9003,,,,,
v2_280,no_answer,no_answer,反物质驱动扫地机器人 家用版 编号ZX-9004,,,,,
v2_281,no_answer,no_answer,量子悬浮全息烤箱 第九代 火星专供 编号ZX-9005,,,,,
v2_282,no_answer,no_answer,零重力永动手机充电器 900%效率 编号ZX-9006,,,,,
v2_283,no_answer,no_answer,能读取梦境的USB线 紫色版本 编号ZX-9007,,,,,
v2_284,no_answer,no_answer,时间旅行电视遥控器 2099款 编号ZX-9008,,,,,
v2_285,no_answer,no_answer,反物质驱动扫地机器人 家用版 编号ZX-9009,,,,,
