id,audit_scope,kind,question,proposed_gold_doc_ids,human_gold_doc_ids,is_answerable,reviewer,review_notes,assistant_gold_doc_ids,assistant_is_answerable,assistant_check,assistant_evidence,assistant_notes,human_confirmed
v2_192,multi_constraint,multi_constraint,预算不超过 19.84，想买 wanmanee 的厨房，关键词 wanmanee Fashion,product:P04669,,,,,product:P04669,true,supported,"product:P04669: title=wanmanee Fashion 925 Silver Multi-Color Sapphire Gem Ring Women Bridal Jewelry Size 6-10 (9); price=18.84; brand=wanmanee; category=Home & Kitchen Heating, Cooling & Air Quality Household Fans Personal Fans; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_193,multi_constraint,multi_constraint,预算不超过 15.99，想买 DecalGirl 的数码，关键词 Kindle Fire,product:P01033,,,,,product:P01033,true,supported,product:P01033: title=Kindle Fire Skin Kit/Decal - Her Abstraction (does not fit Kindle Fire HD); price=14.99; brand=DecalGirl; category=Electronics Computers & Accessories Tablet Accessories; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_194,multi_constraint,multi_constraint,预算不超过 24.14，想买 TARION 的数码，关键词 TARION Tabletop,product:P01848,,,,,product:P01848,true,supported,"product:P01848: title=TARION Tabletop Light Stand Camera Mount with 1/4"" 3/8"" Screws for Ring Light Cameras Desktop Mount L Shape Clip Stand for Live Streaming Photograpghy Videograpghy Film Shooting Virtual Meetings; price=22.99; brand=TARION; category=Electronics Camera & Photo Lighting & Studio Lighting Booms & Stands; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_195,multi_constraint,multi_constraint,预算不超过 48.29，想买 enuullao 的厨房，关键词 ENUULLAO Unicorn,product:P03015,,,,,product:P03015,true,supported,"product:P03015: title=ENUULLAO Unicorn Kids Comforter Sets for Girls, Twin Size 4-Pieces Bed in a Bag,Ultra Soft Comforter and Sheet Sets ,All Season Bedding-Set(Unicorn,Twin); price=45.99; brand=enuullao; category=Home & Kitchen Bedding Kids' Bedding Comforters & Sets Comforter Sets; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_196,multi_constraint,multi_constraint,预算不超过 57.74，想买 Amazon Basics 的厨房，关键词 Amazon Basics,product:P04314,,,,,product:P04314,true,supported,"product:P04314: title=Amazon Basics Fuzzy Faux Fur Sherpa Blanket, King, 92""x108"" - Light Gray; price=54.99; brand=Amazon Basics; category=Home & Kitchen Bedding Blankets & Throws Throws; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_197,multi_constraint,multi_constraint,预算不超过 1542.45，想买 HP 的数码，关键词 Windows Envy,product:P01842,,,,,product:P01842,true,supported,"product:P01842: title=[Windows 11 Pro] HP Envy x360 15 2-in-1 Business Laptop, 15.6"" FHD Touchscreen, Octa-Core AMD Ryzen 7 5700U (Beat i7-1165G7), 64GB DDR4 RAM, 2TB PCIe SSD, WiFi 6, Fingerprint Reader, 64GB Flash Stylus; price=1469.0; brand=HP; category=Electronics Computers & Accessories Computers & Tablets Laptops 2 in 1 Laptops; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_198,multi_constraint,multi_constraint,预算不超过 9.91，想买 HQRP 的数码，关键词 HQRP Replacement,product:P00478,,,,,product:P00478,true,supported,"product:P00478: title=HQRP Replacement AC Adapter/Charger Compatible with Sony Mavica MVC-FD85, MVC-FD87, MVC-FD90, MVC-FD95, MVC-FD97 Digital Camera with USA Cord & Euro Plug Adapter; price=8.91; brand=HQRP; category=Electronics Camera & Photo Accessories Batteries & Chargers Battery Chargers Camera; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_199,multi_constraint,multi_constraint,预算不超过 8.59，想买 imComor 的数码，关键词 Dell Latitude,product:P00501,,,,,product:P00501,true,supported,"product:P00501: title=Dell Latitude Silicone Keyboard Cover for Dell Latitude E7450 E7470 E5470 E7480 5480 5490 5491 7490, Dell 3340 E3340 Laptop Keyboard Protective Skin Keyboard Protector, Gradual Blue (with Pointing); price=7.59; brand=imComor; category=Electronics Computers & Accessories Computer Accessories & Peripherals Keyboards, Mice & Accessories Keyboard & Mice Accessories Keyboard Skins; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_200,multi_constraint,multi_constraint,预算不超过 8.99，想买 Prime Entertainment 的数码，关键词 Batman Clipt,product:P01297,,,,,product:P01297,true,supported,product:P01297: title=Batman Clipt! Digital Camera; price=7.99; brand=Prime Entertainment; category=Electronics Camera & Photo Accessories; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_221,alias_typo,alias_typo,有个厨房好像叫 Da1syp0wer Portable，帮我找准确商品,product:P02620,,,,,product:P02620,true,supported,"product:P02620: title=Daisypower Portable Air Conditioner Window Kit,Adjustable Window Vent Kit for Sliding Window,Portable Air Conditioner Replacement AC Window Kit for 5.9 Inch Exhaust Hose,Up to 47 Inch Window Seal Kit; price=24.99; brand=Daisypower; category=Home & Kitchen Heating, Cooling & Air Quality Parts & Accessories Air Conditioner Parts & Accessories Accessories; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_222,alias_typo,alias_typo,有个数码好像叫 Av1maBasics Buds，帮我找准确商品,product:P00052,,,,,product:P00052,true,supported,"product:P00052: title=AvimaBasics Ear Buds, Spare Kit Earloops Buds Compatible with Plantronics WH500 CS540 W440 Savi W740 - Includes: 3 Earloop, 3 Eartips Guarantee! (1 Pack); price=9.99; brand=AVIMABASICS; category=Electronics Headphones, Earbuds & Accessories Earpads; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_223,alias_typo,alias_typo,有个数码好像叫 N0rthwestern Bell，帮我找准确商品,product:P00682,,,,,product:P00682,true,supported,product:P00682: title=Northwestern Bell 23110 EasyTouch Corded Telephone in Beige; price=None; brand=Northwestern Bell; category=All Electronics; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_224,alias_typo,alias_typo,有个厨房好像叫 M0narch Spec1alties，帮我找准确商品,product:P03577,,,,,product:P03577,true,supported,product:P03577: title=Monarch Specialties Tempered Glass Bookcase; price=None; brand=Monarch Specialties; category=Home & Kitchen Furniture Home Office Furniture Bookcases; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_225,alias_typo,alias_typo,有个数码好像叫 NOWA Shaper，帮我找准确商品,product:P00443,,,,,product:P00443,true,supported,"product:P00443: title=NOWA Shaper Hybrid Smart Watch Waterproof Stainless Steel Sapphire Glass Activity Fitness Tracker (Steps, Distance, Calories, Sleep Quality) and Smartphone Notifications, Black; price=119.0; brand=NOWA; category=Electronics Wearable Technology Smartwatches; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_226,alias_typo,alias_typo,有个厨房好像叫 Sunbeam Heated，帮我找准确商品,product:P02740,,,,,product:P02740,true,supported,"product:P02740: title=Sunbeam Heated Blanket | Velvet Plush, 10 Heat Settings, Slate, Full - BSV9GFS-R825-12A44; price=56.78; brand=Sunbeam; category=Home & Kitchen Bedding Blankets & Throws Bed Blankets; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_227,alias_typo,alias_typo,有个厨房好像叫 Kaps K-Cups，帮我找准确商品,product:P03161,,,,,product:P03161,true,supported,"product:P03161: title=Kaps for K-Cups (18 + Brush) - Reuse Your Keurig K-Cups - Over 30,000 Sold; price=None; brand=My-Kap; category=Home & Kitchen Kitchen & Dining Small Appliance Parts & Accessories Coffee & Espresso Machine Parts & Accessories Coffee Machine Accessories; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_228,alias_typo,alias_typo,有个数码好像叫 Y0ukamoo Balanced，帮我找准确商品,product:P00281,,,,,product:P00281,true,supported,"product:P00281: title=Youkamoo 4 Pin XLR Balanced Male Compatible for Hifiman HE4XX, HE-400i Headphones 8 Core Braided Silver Plated Replacement Audio Upgrade Cable (2 x 3.5mm Version); price=23.99; brand=Youkamoo; category=Electronics Headphones, Earbuds & Accessories Extension Cords; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_229,alias_typo,alias_typo,有个厨房好像叫 SEDGE Sant0ku，帮我找准确商品,product:P03308,,,,,product:P03308,true,supported,"product:P03308: title=SEDGE Santoku Knife 7"" - Japanese AUS-10V Damascus High Carbon Stainless Steel - Hammered Finish - Non-Slip Full-tang Ergonomic G10 Handle; price=None; brand=SEDGE; category=Home & Kitchen Kitchen & Dining Kitchen Utensils & Gadgets Kitchen Knives & Accessories Paring Knives; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_230,alias_typo,alias_typo,有个厨房好像叫 Y0ur Zone，帮我找准确商品,product:P04214,,,,,product:P04214,true,supported,product:P04214: title=Your Zone Lux Shag Butterfly Chair | Portable Seating Option | Folds for Easy Storage (Rich Black); price=None; brand=Your Zone; category=Home & Kitchen Furniture Living Room Furniture Chairs; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_251,near_sku,near_sku_multi_gold,找 3dRose 的 Coffee Mugs 相近型号，线索是 3dRose mug_3599_2,product:P03934|product:P03752,,,,,product:P03934|product:P03752,true,supported,"product:P03934: title=3dRose mug_3599_2 Mommas Red Hat Dreams Ceramic Mug, 15-Ounce; price=None; brand=3dRose; category=Home & Kitchen Kitchen & Dining Dining & Entertaining Novelty Drinkware Coffee Mugs; budget_ok=True || product:P03752: title=3dRose DPP_175635_3 Pepper Maracas Sombrero Sunglasses Wall Clock, 15 by 15""; price=53.09; brand=3dRose; category=Home & Kitchen Home Décor Products Clocks Wall Clocks; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_252,near_sku,near_sku_multi_gold,找 A-Tech 的 Components Memory 相近型号，线索是 A-Tech STICK,product:P00266|product:P00797,,,,,product:P00266|product:P00797,true,supported,product:P00266: title=A-Tech 1GB STICK For Dell Vostro Desktop Series 200 Mini Tower 200 Slim Tower 200S (Slim Tower) 220 Mini Tower 220s Slim Tower 320 (All-In-One) 400 400 Mi. DIMM DDR2 NON-ECC PC2-6400 800MHz RAM Memory; price=11.97; brand=A-Tech; category=Electronics Computers & Accessories Computer Components Internal Components Memory; budget_ok=True || product:P00797: title=A-Tech 8GB KIT (2 x 4GB) for Apple iMac Series 3.2GHz Intel Quad-Core i5 - (27-inch) (Late 2013) 3.4GHz Intel Quad-Core i5 - (27-inch) (Late 2013) 3. SO-DIMM DDR3 Non-ECC PC3-12800 1600MHz RAM Memory; price=72.59; brand=A-Tech; category=Electronics Computers & Accessories Computer Components Internal Components Memory; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_253,near_sku,near_sku_multi_gold,找 Accessory USA 的 AC Adapters 相近型号，线索是 Accessory Adapter,product:P02132|product:P00475,,,,,product:P02132|product:P00475,true,supported,product:P02132: title=Accessory USA AC Adapter for Nordic Track Pro-Form 14730 Elliptical Power Supply Cord; price=8.99; brand=Accessory USA; category=Electronics Power Accessories AC Adapters; budget_ok=True || product:P00475: title=Accessory USA AC DC Adapter for LG Electronics ND8630 AirPlay Dock Speaker Power Supply Cord; price=23.89; brand=Accessory USA; category=Electronics Power Accessories AC Adapters; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_254,near_sku,near_sku_multi_gold,找 Acer 的 Traditional Laptops 相近型号，线索是 Acer Aspire,product:P01164|product:P00518,,,,,product:P01164|product:P00518,true,supported,"product:P01164: title=Acer Aspire V3-572-5217 15.6-Inch Laptop (Platinum Silver); price=None; brand=Acer; category=Electronics Computers & Accessories Computers & Tablets Laptops Traditional Laptops; budget_ok=True || product:P00518: title=Acer Chromebook C738T NX.G55AA.005;C738T-C44Z 11.6"" Laptop; price=358.0; brand=Acer; category=Electronics Computers & Accessories Computers & Tablets Laptops Traditional Laptops; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_255,near_sku,near_sku_multi_gold,找 ADATA 的 Card Readers 相近型号，线索是 ADATA 32GB,product:P00180|product:P01142,,,,,product:P00180|product:P01142,true,supported,product:P00180: title=ADATA 32GB microSDHC Class 4 Memory Card with Black Card Reader (AUSDH32GCL4-RM3BKBL); price=None; brand=ADATA; category=Electronics Computers & Accessories Computer Accessories & Peripherals Memory Card Accessories Memory Card Readers; budget_ok=True || product:P01142: title=ADATA Premier Pro 64GB Read 90 MB/s and Write 85 MB/s SDXC UHS-I U3 Class 10 Memory Card (ASDX64GUI3CL10-R); price=None; brand=ADATA; category=Electronics Computers & Accessories Computer Accessories & Peripherals Memory Cards SD Cards; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_256,near_sku,near_sku_multi_gold,找 AIDITIYMI 的 Remote Controls 相近型号，线索是 RMT-AA231U RMTAA231U,product:P01254|product:P00919,,,,,product:P01254|product:P00919,true,supported,product:P01254: title=RMT-AA231U RMTAA231U Replace Remote Control fit for Sony AV Receiver Home Theater System STR-DH770 STRDH770; price=7.94; brand=AIDITIYMI; category=Electronics Television & Video Accessories Remote Controls; budget_ok=True || product:P00919: title=CT-90275 CT90275 Sub CT-90302 Replace Remote Control fit for Toshiba LCD TV HDTV Regza 26HL47 19AV500 19AV500U 19AV501 19AV501U 19AV51U 26AV500 26AV500U 26AV50U 26AV52U 26HL67 26LV47 26LV67 26LV67U; price=8.99; brand=AIDITIYMI; category=Electronics Television & Video Accessories Remote Controls; budget_ok=True,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_257,near_sku,near_sku_multi_gold,找 Alapmk 的 Sleeves Sleeves 相近型号，线索是 Alapmk Protective,product:P00621|product:P00204,,,,,product:P00621|product:P00204,true,supported,"product:P00621: title=Alapmk Protective Case Cover for 15.6"" HP Notebook 15 15-daXXXX (Such as 15-DA0012DX 15-DA0014DX)/15-dbXXXX (Such as 15-DB0011DX 15-DB0010NR) Laptop[Not fit 15-bsXXX/15-bwXXX/15-acXXX/15-ayXXX],Red; price=22.99; brand=Alapmk; category=Electronics Computers & Accessories Laptop Accessories Bags, Cases & Sleeves Sleeves; budget_ok=True || product:P00204: title=Alapmk Protective Cover Case for 11.6"" ASUS Chromebook CX1 CX1100CNA CX1100CNA-AS42/Dell Inspiron 11 2-in-1 3195 i3195 Laptop[Not fit Dell Inspiron 11 2-in-1 3168 3169 3179 3185],Galaxy; price=22.99; brand=Alapmk; category=Electronics Computers & Accessories Laptop Accessories Bags, Cases & Sleeves; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_258,near_sku,near_sku_multi_gold,找 Alessi 的 Dinner Forks 相近型号，线索是 Alessi Serving,product:P04101|product:P03375,,,,,product:P04101|product:P03375,true,supported,"product:P04101: title=Alessi""MU"" Serving Fork in 18/10 Stainless Steel Mirror Polished, Silver; price=38.0; brand=Alessi; category=Home & Kitchen Kitchen & Dining Dining & Entertaining Flatware Forks Dinner Forks; budget_ok=True || product:P03375: title=Alessi ""Blow Up"" Magazine Holder In Steel Chrome Plated - FC15; price=165.0; brand=Alessi; category=Home & Kitchen Home Décor Products Home Décor Accents Magazine Holders; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_259,near_sku,near_sku_multi_gold,找 Alienware 的 Desktops Towers 相近型号，线索是 Alienware Aurora,product:P00610|product:P01512,,,,,product:P00610|product:P01512,true,supported,"product:P00610: title=Alienware Aurora R4 Gaming Machine-Intel Core i7-4820K QC Overclocked up to 4.2GHz, 32GB Ram, 256GB SSD + 2TB HDD, DVD Burner, nVIDIA GeForce GTX 780 3GB GDDR5 SuperClocked PCIe Video (1 x HDMI, 2 x DVI), Windows 7 Pro; price=None; brand=Alienware; category=Electronics Computers & Accessories Computers & Tablets Desktops Towers; budget_ok=True || product:P01512: title=ALIENWARE 17R4 17.3"" R4 i7 7700HQ 16GB 1T HDD + 128GB SSD GTX 1070; price=None; brand=Alienware; category=Electronics Computers & Accessories Computers & Tablets Laptops Traditional Laptops; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_260,near_sku,near_sku_multi_gold,找 Amazon 的 Amazon Devices 相近型号，线索是 Echo Plum,product:P01064|product:P01280,,,,,product:P01064|product:P01280,true,supported,"product:P01064: title=Echo Dot (3rd Gen) Plum with Echo Auto; price=None; brand=Amazon; category=Amazon Devices; budget_ok=True || product:P01280: title=Fire HD 8 Tablet (8"" HD Display, 16 GB) - Black (Previous Generation - 8th); price=None; brand=Amazon; category=Amazon Devices; budget_ok=True",Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_276,no_answer,no_answer,量子悬浮全息烤箱 第九代 火星专供 编号ZX-9000,,,,,,,false,no_answer_candidate,,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_277,no_answer,no_answer,零重力永动手机充电器 900%效率 编号ZX-9001,,,,,,,false,no_answer_candidate,,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_278,no_answer,no_answer,能读取梦境的USB线 紫色版本 编号ZX-9002,,,,,,,false,no_answer_candidate,,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_279,no_answer,no_answer,时间旅行电视遥控器 2099款 编号ZX-9003,,,,,,,false,no_answer_candidate,,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_280,no_answer,no_answer,反物质驱动扫地机器人 家用版 编号ZX-9004,,,,,,,false,no_answer_candidate,,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_281,no_answer,no_answer,量子悬浮全息烤箱 第九代 火星专供 编号ZX-9005,,,,,,,false,no_answer_candidate,,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_282,no_answer,no_answer,零重力永动手机充电器 900%效率 编号ZX-9006,,,,,,,false,no_answer_candidate,,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_283,no_answer,no_answer,能读取梦境的USB线 紫色版本 编号ZX-9007,,,,,,,false,no_answer_candidate,,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_284,no_answer,no_answer,时间旅行电视遥控器 2099款 编号ZX-9008,,,,,,,false,no_answer_candidate,,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
v2_285,no_answer,no_answer,反物质驱动扫地机器人 家用版 编号ZX-9009,,,,,,,false,no_answer_candidate,,Codex-assisted prefill only; confirm alternative matching SKUs and sign human_confirmed.,
